[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.822 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.331 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.741 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.710 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.414 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.718 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.723 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.425 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: OPTIONS [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 0.913 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[06: 32: 38] [ip]: ::ffff:192.168.0.129 - [method]: POST [url]: /api/v1/manufacture/add_manufacture_value HTTP/1.1 [status]: 200 [response-time]: 1.369 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
